abase,"to humiliate, degrade"
battery,a device that supplies power
beguile,"to trick, deceive"
behemoth,something of tremendous power or size
benevolent,marked by goodness or doing good
benign,"favorable, not threatening, mild"
bequeath,"to pass on, give"
berate,to scold vehemently
bereft,"devoid of, without"
beseech,"to beg, plead, implore"
bias,"a tendency, inclination, prejudice"
bilk,"cheat, defraud"
blandish,to coax by using flattery
blemish,"an imperfection, flaw"
blight,"a plague, disease"
boisterous,loud and full of energy
bombastic,"excessively confident, pompous"
boon,a gift or blessing
bourgeois,"a middle-class person, capitalist"
brazen,"excessively bold, brash"
brusque,"short, abrupt, dismissive"
buffet,to strike with force
burnish,"to polish, shine"
buttress,"to support, hold up"
cacophony,"tremendous noise, disharmonious sound"
cadence,"a rhythm, progression of sound"
cajole,"to urge, coax"
calamity,an event with disastrous consequences
calibrate,"to set, standardize"
callous,"harsh, cold, unfeeling"
calumny,an attempt to spoil someone else’s reputation by spreading lies
camaraderie,"brotherhood, jovial unity"
candor,"honesty, frankness"
canny,"shrewd, careful"
canvas,a piece of cloth on which an artist paints
capacious,very spacious
capitulate,to surrender
capricious,"subject to whim, fickle"
captivate,"to get the attention of, hold"
carouse,"to party, celebrate"
carp,"to annoy, pester"
catalog,"to list, enter into a list"
catalyze,"to charge, inspire"
caucus,a meeting usually held by people working toward the same goal
caustic,"bitter, biting, acidic"
cavort,"to leap about, behave boisterously"
censure,harsh criticism
cerebral,related to the intellect
chaos,absolute disorder
chastise,to criticize severely
cherish,to feel or show affection toward something
chide,to voice disapproval
choreography,the arrangement of dances
chronicle,a written history
chronological,arranged in order of time
circuitous,roundabout
circumlocution,indirect and wordy language
circumscribed,"marked off, bounded"
circumspect,cautious
circumvent,to get around
clairvoyant,able to perceive things that normal people cannot
clamor,loud noise
clandestine,secret
cleave,to divide into parts
clemency,mercy
clergy,members of Christian holy orders
cloying,sickeningly sweet
coagulate,"to thicken, clot"
coalesce,to fuse into a whole
cobbler,a person who makes or repairs shoes
coerce,to make somebody do something by force or threat
cogent,intellectually convincing
cognizant,"aware, mindful"
coherent,"logically consistent, intelligible"
collateral,secondary
colloquial,characteristic of informal conversation
collusion,"secret agreement, conspiracy"
colossus,a gigantic statue or thing
combustion,the act or process of burning
commendation,a notice of approval or recognition
commensurate,corresponding in size or amount
commodious,roomy
compelling,"forceful, demanding attention"
compensate,to make an appropriate payment for something
complacency,self-satisfied ignorance of danger
complement,"to complete, make perfect"
compliant,ready to adapt oneself to another’s wishes
complicit,being an accomplice in a wrongful act
compliment,an expression of esteem or approval
compound,to combine parts
comprehensive,including everything
compress,"to apply pressure, squeeze together"
compunction,distress caused by feeling guilty
concede,to accept as valid
conciliatory,"friendly, agreeable"
concise,brief and direct in expression
concoct,"to fabricate, make up"
concomitant,accompanying in a subordinate fashion
concord,harmonious agreement
condolence,an expression of sympathy in sorrow
condone,"to pardon, deliberately overlook"
conduit,a pipe or channel through which something passes
confection,"a sweet, fancy food"
confidant,a person entrusted with secrets
conflagration,great fire
confluence,a gathering together
conformist,one who behaves the same as others
confound,"to frustrate, confuse"
congeal,to thicken into a solid
congenial,pleasantly agreeable
congregation,"a gathering of people, especially for religious services"
congruity,the quality of being in agreement
connive,"to plot, scheme"
consecrate,to dedicate something to a holy purpose
consensus,an agreement of opinion
consign,to give something over to another’s care
consolation,an act of comforting
consonant,in harmony
constituent,an essential part
constrain,to forcibly restrict
construe,to interpret
consummate,to complete a deal; to complete a marriage ceremony through sexual intercourse
consumption,the act of consuming
contemporaneous,existing during the same time
contentious,having a tendency to quarrel or dispute
contravene,"to contradict, oppose, violate"
contrite,"penitent, eager to be forgiven"
contusion,"bruise, injury"
conundrum,"puzzle, problem"
convene,to call together
convention,an assembly of people
convivial,"characterized by feasting, drinking, merriment"
convoluted,"intricate, complicated"
copious,"profuse, abundant"
cordial,"warm, affectionate"
coronation,the act of crowning
corpulence,extreme fatness
corroborate,to support with evidence
corrosive,having the tendency to erode or eat away
cosmopolitan,"sophisticated, worldly"
counteract,"to neutralize, make ineffective"
coup,"a brilliant, unexpected act"
covet,to desire enviously
covert,secretly engaged in
credulity,readiness to believe
crescendo,a steady increase in intensity or volume
criteria,standards by which something is judged
culmination,the climax toward which something progresses
culpable,deserving blame
cultivate,"to nurture, improve, refine"
cumulative,"increasing, building upon itself"
cunning,"sly, clever at being deceitful"
cupidity,"greed, strong desire"
cursory,brief to the point of being superficial
curt,abruptly and rudely short
curtail,"to lessen, reduce"
daunting,"intimidating, causing one to lose courage"
dearth,"a lack, scarcity"
debacle,"a disastrous failure, disruption"
debase,to lower the quality or esteem of something
debauch,to corrupt by means of sensual pleasures
debunk,to expose the falseness of something
decorous,"socially proper, appropriate"
decry,to criticize openly
deface,to ruin or injure something’s appearance
defamatory,harmful toward another’s reputation
defer,to postpone something; to yield to another’s wisdom
deferential,showing respect for another’s authority
defile,"to make unclean, impure"
deft,"skillful, capable"
defunct,no longer used or existing
delegate,to hand over responsibility for something
deleterious,harmful
deliberate,"intentional, reflecting careful consideration"
delineate,"to describe, outline, shed light on"
demagogue,a leader who appeals to a people’s prejudices
demarcation,the marking of boundaries or categories
demean,to lower the status or stature of something
demure,"quiet, modest, reserved"
denigrate,"to belittle, diminish the opinion of"
denounce,to criticize publicly
deplore,"to feel or express sorrow, disapproval"
depravity,wickedness
deprecate,"to belittle, depreciate"
derelict,"abandoned, run-down"
deride,"to laugh at mockingly, scorn"
derivative,"taken directly from a source, unoriginal"
desecrate,to violate the sacredness of a thing or place
desiccated,"dried up, dehydrated"
desolate,"deserted, dreary, lifeless"
despondent,"feeling depressed, discouraged, hopeless"
despot,one who has total power and rules brutally
destitute,"impoverished, utterly lacking"
deter,"to discourage, prevent from doing"
devious,"not straightforward, deceitful"
dialect,a variation of a language
diaphanous,"light, airy, transparent"
didactic,intended to instruct
diffident,"shy, quiet, modest"
diffuse,"to scatter, thin out, break up"
dilatory,"tending to delay, causing delay"
diligent,showing care in doing one’s work
diminutive,small or miniature
dirge,"a mournful song, especially for a funeral"
disaffected,"rebellious, resentful of authority"
disavow,to deny knowledge of or responsibility for
discern,"to perceive, detect"
disclose,"to reveal, make public"
discomfit,"to thwart, baffle"
discordant,"not agreeing, not in harmony with"
discrepancy,"difference, failure of things to correspond"
discretion,the quality of being reserved in speech or action; good judgment
discursive,"rambling, lacking order"
disdain,"to scorn, hold in low esteem"
disgruntled,"upset, not content"
disheartened,feeling a loss of spirit or morale
disparage,to criticize or speak ill of
disparate,"sharply differing, containing sharply contrasting elements"
dispatch,to send off to accomplish a duty
dispel,"to drive away, scatter"
disperse,"to scatter, cause to scatter"
disrepute,a state of being held in low regard
dissemble,"to conceal, fake"
disseminate,to spread widely
dissent,to disagree
dissipate,"to disappear, cause to disappear"
dissonance,lack of harmony or consistency
dissuade,to persuade someone not to do something
distend,to swell out
dither,to be indecisive
divine,"godly, exceedingly wonderful"
divisive,"causing dissent, discord"
divulge,to reveal something secret
docile,easily taught or trained
dogmatic,aggressively and arrogantly certain about unproved principles
dormant,"sleeping, temporarily inactive"
dour,"stern, joyless"
dubious,"doubtful, of uncertain quality"
duplicity,crafty dishonesty
duress,"hardship, threat"
dynamic,actively changing
ebullient,"extremely lively, enthusiastic"
eclectic,consisting of a diverse variety of elements
ecstatic,intensely and overpoweringly happy
edict,"an order, decree"
efface,"to wipe out, obliterate, rub away"
effervescent,"bubbly, lively"
efficacious,effective
effrontery,"impudence, nerve, insolence"
effulgent,"radiant, splendorous"
egregious,extremely bad
elaborate,"complex, detailed, intricate"
elated,"overjoyed, thrilled"
elegy,a speech given in honor of a dead person
elicit,"to bring forth, draw out, evoke"
eloquent,"expressive, articulate, moving"
elucidate,"to clarify, explain"
elude,"to evade, escape"
emaciated,"very thin, enfeebled looking"
embellish,"to decorate, adorn"
embezzle,to steal money by falsifying records
emend,to correct or revise a written text
eminent,"distinguished, prominent, famous"
emollient,soothing
emote,to express emotion
empathy,sensitivity to another’s feelings as if they were one’s own
empirical,based on observation or experience
emulate,to imitate
enamor,"to fill with love, fascinate, usually used in passive form followed by “of” or “with”"
encore,the audience’s demand for a repeat performance; also the artist’s performance in response to that demand
encumber,"to weigh down, burden"
enervate,"to weaken, exhaust"
enfranchise,to grant the vote to
engender,"to bring about, create, generate"
enigmatic,"mystifying, cryptic"
enmity,"ill will, hatred, hostility"
ennui,"boredom, weariness"
entail,to include as a necessary step
enthrall,"to charm, hold spellbound"
ephemeral,"short-lived, fleeting"
epistolary,relating to or contained in letters
epitome,"a perfect example, embodiment"
equanimity,composure
equivocal,"ambiguous, uncertain, undecided"
erudite,learned
eschew,"to shun, avoid"
esoteric,understood by only a select few
espouse,"to take up as a cause, support"
ethereal,"heavenly, exceptionally delicate or refined"
etymology,"the history of words, their origin and development"
euphoric,"elated, uplifted"
evanescent,"fleeting, momentary"
evince,"to show, reveal"
exacerbate,"to make more violent, intense"
exalt,"to glorify, praise"
exasperate,"to irritate, irk"
excavate,to dig out of the ground and remove
exculpate,"to free from guilt or blame, exonerate"
excursion,a trip or outing
execrable,"loathsome, detestable"
exhort,"to urge, prod, spur"
exigent,"urgent, critical"
exonerate,"to free from guilt or blame, exculpate"
exorbitant,excessive
expedient,"advisable, advantageous, serving one’s self-interest"
expiate,"to make amends for, atone"
expunge,"to obliterate, eradicate"
expurgate,"to remove offensive or incorrect parts, usually of a book"
extant,"existing, not destroyed or lost"
extol,"to praise, revere"
extraneous,"irrelevant, extra, not necessary"
extricate,to disentangle
exult,to rejoice
fabricate,"to make up, invent"
façade,the wall of a building
facile,"easy, requiring little effort"
fallacious,"incorrect, misleading"
fastidious,"meticulous, demanding, having high and often unattainable standards"
fathom,"to understand, comprehend"
fatuous,"silly, foolish"
fecund,"fruitful, fertile"
felicitous,"well suited, apt"
feral,"wild, savage"
fervent,"ardent, passionate"
fetid,having a foul odor
fetter,"to chain, restrain"
fickle,"shifting in character, inconstant"
fidelity,"loyalty, devotion"
figurative,symbolic
flabbergasted,astounded
flaccid,"limp, not firm or strong"
flagrant,"offensive, egregious"
florid,"flowery, ornate"
flout,to disregard or disobey openly
foil,"to thwart, frustrate, defeat"
forage,"to graze, rummage for food"
forbearance,"patience, restraint, toleration"
forestall,"to prevent, thwart, delay"
forlorn,"lonely, abandoned, hopeless"
forsake,"to give up, renounce"
fortitude,"strength, guts"
fortuitous,"happening by chance, often lucky or fortunate"
forum,a medium for lecture or discussion
foster,"to stimulate, promote, encourage"
fractious,troublesome or irritable
fraught,(usually used with “with”) filled or accompanied with
frenetic,"frenzied, hectic, frantic"
frivolous,"of little importance, trifling"
frugal,"thrifty, economical"
furtive,"secretive, sly"
garish,"gaudy, in bad taste"
garrulous,"talkative, wordy"
genial,"friendly, affable"
gluttony,overindulgence in food or drink
goad,"to urge, spur, incite to action"
gourmand,someone fond of eating and drinking
grandiloquence,"lofty, pompous language"
grandiose,on a magnificent or exaggerated scale
gratuitous,"uncalled for, unwarranted"
gregarious,"drawn to the company of others, sociable"
grievous,"injurious, hurtful; serious or grave in nature"
guile,"deceitful, cunning, sly behavior"
hackneyed,"unoriginal, trite"
hallowed,"revered, consecrated"
hapless,unlucky
harangue,a ranting speech
hardy,"robust, capable of surviving through adverse conditions"
harrowing,"greatly distressing, vexing"
haughty,disdainfully proud
hedonist,one who believes pleasure should be the primary pursuit of humans
hegemony,domination over others
heinous,"shockingly wicked, repugnant"
heterogeneous,"varied, diverse in character"
hiatus,a break or gap in duration or continuity
hierarchy,"a system with ranked groups, usually according to social, economic, or professional class"
hypocrisy,pretending to believe what one does not
hypothetical,"supposed or assumed true, but unproven"
iconoclast,one who attacks common beliefs or institutions
idiosyncratic,peculiar to one person; highly individualized
idolatrous,excessively worshipping one object or person
ignominious,"humiliating, disgracing"
illicit,"forbidden, not permitted"
immerse,"to absorb, deeply involve, engross"
immutable,not changeable
impassive,"stoic, not susceptible to suffering"
impeccable,"exemplary, flawless"
impecunious,poor
imperative,"necessary, pressing"
imperious,"commanding, domineering"
impertinent,"rude, insolent"
impervious,"impenetrable, incapable of being affected"
impetuous,rash; hastily done
impinge,"to impact, affect, make an impression"
implacable,incapable of being appeased or mitigated
implement,"an instrument, utensil, tool"
implicate,"to involve in an incriminating way, incriminate"
implicit,"understood but not outwardly obvious, implied"
impregnable,resistant to capture or penetration
impudent,"casually rude, insolent, impertinent"
impute,"to ascribe, blame"
inane,silly and meaningless
inarticulate,incapable of expressing oneself clearly through speech
incarnate,"existing in the flesh, embodied"
incendiary,a person who agitates
incessant,unending
inchoate,"unformed or formless, in a beginning stage"
incisive,"clear, sharp, direct"
inclination,"a tendency, propensity"
incontrovertible,indisputable
incorrigible,"incapable of correction, delinquent"
increment,an enlargement; the process of increasing
incumbent,one who holds an office
indefatigable,"incapable of defeat, failure, decay"
indigenous,originating in a region
indigent,"very poor, impoverished"
indignation,anger sparked by something unjust or unfair
indolent,lazy
indomitable,not capable of being conquered
induce,"to bring about, stimulate"
ineffable,"unspeakable, incapable of being expressed through words"
inept,"not suitable or capable, unqualified"
inexorable,incapable of being persuaded or placated
inextricable,hopelessly tangled or entangled
infamy,"notoriety, extreme ill repute"
infusion,an injection of one substance into another; the permeation of one substance by another
ingenious,"clever, resourceful"
ingenuous,not devious; innocent and candid
inhibit,"to prevent, restrain, stop"
inimical,"hostile, enemylike"
iniquity,wickedness or sin
injunction,an order of official warning
innate,"inborn, native, inherent"
innocuous,"harmless, inoffensive"
innovate,to do something in an unprecedented way
innuendo,an insinuation
inoculate,"to introduce a microorganism, serum, or vaccine into an organism in order to increase immunity to illness; to vaccinate"
inquisitor,"one who inquires, especially in a hostile manner"
insatiable,incapable of being satisfied
insidious,"appealing but imperceptibly harmful, seductive"
insinuate,to suggest indirectly or subtly
insipid,"dull, boring"
insolent,"rude, arrogant, overbearing"
instigate,"to urge, goad"
insular,"separated and narrow-minded; tight-knit, closed off"
insurgent,one who rebels
integral,necessary for completeness
interject,to insert between other things
interlocutor,someone who participates in a dialogue or conversation
interminable,without possibility of end
intimation,an indirect suggestion
intractable,"difficult to manipulate, unmanageable"
intransigent,"refusing to compromise, often on an extreme opinion"
intrepid,brave in the face of danger
inundate,to flood with abundance
inure,to cause someone or something to become accustomed to a situation
invective,an angry verbal attack
inveterate,stubbornly established by habit
inviolable,secure from assault
irascible,easily angered
jubilant,"extremely joyful, happy"
judicious,having or exercising sound judgment
juxtaposition,the act of placing two things next to each other for implicit comparison
knell,"the solemn sound of a bell, often indicating a death"
kudos,praise for an achievement
laceration,"a cut, tear"
laconic,terse in speech or writing
languid,sluggish from fatigue or weakness
larceny,obtaining another’s property by theft or trickery
largess,the generous giving of lavish gifts
iridescent,showing rainbow colors
irreverence,disrespect
irrevocable,incapable of being taken back
latent,"hidden, but capable of being exposed"
laudatory,expressing admiration or praise
lavish,given without limits
legerdemain,"deception, slight-of-hand"
lenient,demonstrating tolerance or gentleness
lethargic,in a state of sluggishness or apathy
liability,"something for which one is legally responsible, usually involving a disadvantage or risk"
libertarian,advocating principles of liberty and free will
licentious,displaying a lack of moral or legal restraints
limpid,"clear, transparent"
linchpin,something that holds separate parts together
lithe,"graceful, flexible, supple"
litigant,someone engaged in a lawsuit
lucid,"clear, easily understandable"
luminous,brightly shining
lurid,"ghastly, sensational"
maelstrom,a destructive whirlpool which rapidly sucks in objects
magnanimous,"noble, generous"
malediction,a curse
malevolent,wanting harm to befall others
malleable,capable of being shaped or transformed
mandate,an authoritative command
manifest,"easily understandable, obvious"
manifold,"diverse, varied"
maudlin,weakly sentimental
maverick,"an independent, nonconformist person"
mawkish,characterized by sick sentimentality
maxim,a common saying expressing a principle of conduct
meager,deficient in size or quality
medley,a mixture of differing things
mendacious,"having a lying, false character"
mercurial,characterized by rapid change or temperamentality
meritorious,worthy of esteem or reward
metamorphosis,"the change of form, shape, substance"
meticulous,extremely careful with details
mitigate,"to make less violent, alleviate"
moderate,not extreme
modicum,a small amount of something
modulate,"to pass from one state to another, especially in music"
mollify,to soften in temper
morass,"a wet swampy bog; figuratively, something that traps and confuses"
mores,the moral attitudes and fixed customs of a group of people.
morose,gloomy or sullen
multifarious,having great diversity or variety
mundane,"concerned with the world rather than with heaven, commonplace"
munificence,generosity in giving
mutable,able to change
myriad,consisting of a very great number
nadir,the lowest point of something
nascent,in the process of being born or coming into existence
nebulous,"vaguely defined, cloudy"
nefarious,heinously villainous
negligent,"habitually careless, neglectful"
neophyte,someone who is young or inexperienced
nocturnal,relating to or occurring during the night
noisome,"unpleasant, offensive, especially to the sense of smell"
nomadic,wandering from place to place
nominal,"trifling, insignificant"
nonchalant,"having a lack of concern, indifference"
nondescript,lacking a distinctive character
notorious,widely and unfavorably known
novice,"a beginner, someone without training or experience"
noxious,"harmful, unwholesome"
nuance,"a slight variation in meaning, tone, expression"
nurture,to assist the development of
obdurate,unyielding to persuasion or moral influences
obfuscate,to render incomprehensible
oblique,"diverging from a straight line or course, not straightforward"
oblivious,lacking consciousness or awareness of something
obscure,"unclear, partially hidden"
obsequious,excessively compliant or submissive
obsolete,"no longer used, out of date"
obstinate,"not yielding easily, stubborn"
obstreperous,"noisy, unruly"
obtuse,lacking quickness of sensibility or intellect
odious,instilling hatred or intense displeasure
officious,offering one’s services when they are neither wanted nor needed
ominous,foreboding or foreshadowing evil
onerous,burdensome
opulent,characterized by rich abundance verging on ostentation
oration,a speech delivered in a formal or ceremonious manner
ornate,"highly elaborate, excessively decorated"
orthodox,"conventional, conforming to established protocol"
oscillate,to sway from one side to the other
ostensible,"appearing as such, seemingly"
ostentatious,"excessively showy, glitzy"
ostracism,exclusion from a group
pacific,soothing
palatable,agreeable to the taste or sensibilities
palette,a range of colors or qualities
palliate,to reduce the severity of
pallid,lacking color
panacea,a remedy for all ills or difficulties
paradigm,an example that is a perfect pattern or model
paradox,an apparently contradictory statement that is perhaps true
paragon,a model of excellence or perfection
paramount,"greatest in importance, rank, character"
pariah,an outcast
parody,a satirical imitation
parsimony,"frugality, stinginess"
partisan,"a follower, adherent"
patent,"readily seen or understood, clear"
pathology,a deviation from the normal
pathos,an emotion of sympathy
paucity,small in quantity
pejorative,"derogatory, uncomplimentary"
pellucid,"easily intelligible, clear"
penchant,"a tendency, partiality, preference"
penitent,"remorseful, regretful"
penultimate,next to last
penurious,"miserly, stingy"
perfidious,"disloyal, unfaithful"
perfunctory,showing little interest or enthusiasm
permeate,"to spread throughout, saturate"
pernicious,extremely destructive or harmful
perplex,to confuse
perspicacity,"shrewdness, perceptiveness"
pert,"flippant, bold"
pertinacious,stubbornly persistent
perusal,"a careful examination, review"
pervasive,having the tendency to spread throughout
petulance,"rudeness, irritability"
philanthropic,"charitable, giving"
phlegmatic,"uninterested, unresponsive"
pillage,"to seize or plunder, especially in war"
pinnacle,the highest point
pithy,concisely meaningful
pittance,"a very small amount, especially relating to money"
placate,"to ease the anger of, soothe"
placid,"calm, peaceful"
platitude,"an uninspired remark, cliché"
plaudits,"enthusiastic approval, applause"
plausible,"believable, reasonable"
plenitude,an abundance
plethora,"an abundance, excess"
pliable,flexible
poignant,"deeply affecting, moving"
polemic,an aggressive argument against a specific opinion
portent,an omen
potable,suitable for drinking
potentate,"one who has great power, a ruler"
pragmatic,practical
precipice,"the face of a cliff, a steep or overhanging place"
preclude,to prevent
precocious,"advanced, developing ahead of time"
predilection,a preference or inclination for something
preponderance,superiority in importance or quantity
prepossessing,occupying the mind to the exclusion of other thoughts or feelings
presage,an omen
prescient,to have foreknowledge of events
prescribe,to lay down a rule
presumptuous,disrespectfully bold
pretense,an appearance or action intended to deceive
primeval,"original, ancient"
privation,lacking basic necessities
probity,"virtue, integrity"
proclivity,a strong inclination toward something
procure,"to obtain, acquire"
profane,"lewd, indecent"
profligate,"dissolute, extravagant"
profuse,"plentiful, abundant"
promulgate,"to proclaim, make known"
propagate,"to multiply, spread out"
propensity,"an inclination, preference"
propitious,favorable
propriety,"the quality or state of being proper, decent"
prosaic,"plain, lacking liveliness"
proscribe,"to condemn, outlaw"
protean,able to change shape; displaying great variety
prowess,extraordinary ability
prudence,"cautious, circumspect"
prurient,eliciting or possessing an extraordinary interest in sex
puerile,"juvenile, immature"
pugnacious,"quarrelsome, combative"
pulchritude,physical beauty
punctilious,eager to follow rules or conventions
pungent,"having a pointed, sharp quality—often used to describe smells"
punitive,involving punishment
putrid,"rotten, foul"
quagmire,a difficult situation
quaint,charmingly old-fashioned
quandary,"a perplexed, unresolvable state"
quell,to control or diffuse a potentially explosive situation
querulous,"whiny, complaining"
quixotic,"idealistic, impractical"
quotidian,daily
rail,"to scold, protest"
rancid,having a terrible taste or smell
rancor,"deep, bitter resentment"
rapport,mutual understanding and harmony
rash,"hasty, incautious"
raucous,"loud, boisterous"
raze,"to demolish, level"
rebuke,"to scold, criticize"
recalcitrant,"defiant, unapologetic"
recapitulate,"to sum up, repeat"
reciprocate,to give in return
reclusive,"solitary, shunning society"
reconcile,to return to harmony
rectitude,"uprightness, extreme morality"
redoubtable,formidable
refract,"to distort, change"
refurbish,"to restore, clean up"
refute,to prove wrong
regurgitate,to vomit
relegate,to assign to the proper place
relish,to enjoy
remedial,intended to repair gaps in students’ basic knowledge
remiss,"negligent, failing to take care"
renovate,"restore, return to original state"
renown,"honor, acclaim"
renunciation,to reject
repentant,"penitent, sorry"
replete,"full, abundant"
repose,"to rest, lie down"
reprehensible,deserving rebuke
reprieve,a temporary delay of punishment
reproach,"to scold, disapprove"
reprobate,"evil, unprincipled"
reprove,"to scold, rebuke"
repudiate,"to reject, refuse to accept"
repulse,to disgust
reputable,of good reputation
requisition,"a demand for goods, usually made by an authority"
rescind,"to take back, repeal"
reservoir,"reserves, large supply"
resilient,able to recover from misfortune; able to withstand adversity
resolute,"firm, determined"
resolve,to find a solution
respite,"a break, rest"
resplendent,"shiny, glowing"
restitution,restoration to the rightful owner
restive,"resistant, stubborn, impatient"
retract,withdraw
revel,to enjoy intensely
revere,"to esteem, show deference, venerate"
revoke,to take back
rhapsodize,to engage in excessive enthusiasm
ribald,"coarsely, crudely humorous"
rife,abundant
ruminate,"to contemplate, reflect"
ruse,a trick
saccharine,sickeningly sweet
sacrosanct,"holy, something that should not be criticized"
sagacity,"shrewdness, soundness of perspective"
salient,"significant, conspicuous"
salutation,a greeting
salve,a soothing balm
sanctimonious,giving a hypocritical appearance of piety
sanguine,"optimistic, cheery"
satiate,to satisfy excessively
scathing,"sharp, critical, hurtful"
scintillating,sparkling
scrupulous,"painstaking, careful"
scurrilous,"vulgar, coarse"
sedentary,"sitting, settled"
semaphore,a visual signal
seminal,"original, important, creating a field"
sensual,"involving sensory gratification, usually related to sex"
sensuous,involving sensory gratification
serendipity,"luck, finding good things without looking for them"
serene,"calm, untroubled"
servile,subservient
sinuous,"lithe, serpentine"
sobriety,"sedate, calm"
solicitous,"concerned, attentive"
solipsistic,believing that oneself is all that exists
soluble,able to dissolve
solvent,a substance that can dissolve other substances
somnolent,"sleepy, drowsy"
sophomoric,"immature, uninformed"
sovereign,having absolute authority in a certain realm
speculative,not based in fact
spurious,false but designed to seem plausible
stagnate,"to become or remain inactive, not develop, not flow"
staid,"sedate, serious, self-restrained"
stingy,"not generous, not inclined to spend or give"
stoic,unaffected by passion or feeling
stolid,"expressing little sensibility, unemotional"
strenuous,requiring tremendous energy or stamina
strident,"harsh, loud"
stupefy,"to astonish, make insensible"
subjugate,"to bring under control, subdue"
sublime,"lofty, grand, exalted"
submissive,easily yielding to authority
succinct,marked by compact precision
superfluous,exceeding what is necessary
surfeit,an overabundant supply or indulgence
surmise,to infer with little evidence
surreptitious,stealthy
surrogate,one acting in place of another
